Date,Open,High,Low,Close,Volume
7-Dec-16,195.95,195.98,195.94,195.96,3024607
6-Dec-16,195.28,195.95,195.26,195.94,4005017
5-Dec-16,195.25,195.40,195.25,195.25,1184931
2-Dec-16,195.25,195.35,195.17,195.20,1520838
1-Dec-16,195.22,195.40,195.14,195.31,1683012
30-Nov-16,195.00,195.44,195.00,195.24,2385798
29-Nov-16,195.05,195.15,195.03,195.03,569431
28-Nov-16,195.01,195.15,194.97,195.12,1627397
25-Nov-16,194.95,195.15,194.92,195.15,430267
23-Nov-16,193.63,195.36,193.60,194.92,2589631
22-Nov-16,193.60,194.06,193.58,193.72,1045879
21-Nov-16,193.50,193.99,193.50,193.54,1169137
18-Nov-16,193.12,193.83,193.04,193.64,1028969
17-Nov-16,193.25,193.61,193.23,193.35,1026797
16-Nov-16,193.35,193.50,193.10,193.47,2828650
15-Nov-16,190.56,191.66,189.36,191.05,1264845
14-Nov-16,191.00,191.44,190.06,190.53,1462417
11-Nov-16,191.00,191.78,190.60,191.44,837263
10-Nov-16,190.80,191.30,190.27,191.00,1162522
9-Nov-16,191.00,191.65,190.95,191.01,835914
8-Nov-16,189.71,191.90,189.71,191.32,1378460
7-Nov-16,188.13,190.25,188.06,190.12,1679646
4-Nov-16,188.25,188.58,187.35,187.60,1174741
3-Nov-16,188.30,188.60,188.13,188.23,885985
2-Nov-16,188.84,189.31,188.26,188.50,828634
1-Nov-16,189.40,189.40,188.68,188.98,827647
31-Oct-16,189.52,189.74,189.22,189.60,908137
28-Oct-16,189.00,189.55,188.66,189.50,1560846
27-Oct-16,189.18,189.30,188.54,188.63,734043
26-Oct-16,189.48,189.58,188.80,189.29,1847413
25-Oct-16,190.19,190.25,189.29,189.30,863102
24-Oct-16,190.20,190.36,189.12,189.85,1028713
21-Oct-16,190.40,190.48,190.12,190.12,692890
20-Oct-16,190.40,190.51,190.26,190.40,504735
19-Oct-16,190.47,190.64,190.30,190.40,716068
18-Oct-16,190.58,190.79,190.38,190.38,1021716
17-Oct-16,190.91,190.99,190.45,190.45,625828
14-Oct-16,190.50,191.29,190.25,190.74,1674953
13-Oct-16,190.55,191.07,190.33,190.56,670597
12-Oct-16,190.39,190.85,190.26,190.47,837421
11-Oct-16,190.75,190.97,190.25,190.34,1373368
10-Oct-16,191.20,191.79,190.71,190.71,1714608
7-Oct-16,191.70,191.77,190.83,191.18,1130416
6-Oct-16,192.05,192.18,191.49,191.75,897165
5-Oct-16,192.20,192.45,192.02,192.21,775995
4-Oct-16,191.89,192.41,191.66,192.23,1242865
3-Oct-16,191.15,192.13,191.15,191.95,1250428
30-Sep-16,190.79,191.53,190.79,191.12,2150795
29-Sep-16,192.26,192.58,190.74,190.87,3023681
28-Sep-16,192.20,192.63,192.20,192.29,963365
27-Sep-16,193.00,193.22,191.67,192.20,5282518
26-Sep-16,192.65,194.27,192.55,193.04,2258080
23-Sep-16,192.42,192.79,192.42,192.79,974626
22-Sep-16,192.45,192.61,192.35,192.48,1089833
21-Sep-16,192.30,192.57,192.25,192.40,1293574
20-Sep-16,192.25,192.50,192.02,192.50,2532018
19-Sep-16,192.38,192.55,192.20,192.20,1084534
16-Sep-16,192.44,192.55,192.29,192.40,1195821
15-Sep-16,192.70,192.74,192.39,192.59,1097344
14-Sep-16,192.67,192.89,192.58,192.89,1232857
13-Sep-16,192.75,192.79,192.61,192.66,657393
12-Sep-16,192.67,192.85,192.49,192.80,702394
9-Sep-16,192.85,192.88,192.62,192.74,1415345
8-Sep-16,192.79,192.88,192.76,192.85,417791
7-Sep-16,192.72,192.87,192.70,192.81,730537
6-Sep-16,192.73,192.90,192.60,192.79,995608
2-Sep-16,192.74,192.83,192.61,192.80,432022
1-Sep-16,192.55,192.83,192.41,192.73,881025
31-Aug-16,192.28,192.75,192.26,192.75,1101196
30-Aug-16,192.29,192.38,192.18,192.30,519510
29-Aug-16,192.42,192.60,192.28,192.28,502695
