placeID,name,country
134999,Kiku Cuernavaca,Mexico
132825,puesto de tacos,mexico
135106,El Rincn de San Francisco,Mexico
132667,little pizza Emilio Portes Gil,Mexico
132613,carnitas_mata,mexico
135040,Restaurant los Compadres,Mexico
132732,Taqueria EL amigo ,Mexico
132875,shi ro ie,mexico
132609,Pollo_Frito_Buenos_Aires,Mexico
135082,la Estrella de Dimas,Mexico
135070,Restaurante 75,mexico
135069,Abondance Restaurante Bar,Mexico
135065,El angel Restaurante,Mexico
135076,Restaurante Pueblo Bonito,mexico
135086,Mcdonalds Parque Tangamanga,Mexico
132870,Tortas y hamburguesas el gordo,Mexico
132854,Sirlone,mexico
132937,rockabilly ,Mexico
132856,Unicols Pizza,Mexico
132668,TACOS EL GUERO,mexico
135033,Restaurant El Muladar de Calzada,Mexico
132862,La Posada del Virrey,Mexico
134983,Restaurant and Bar and Clothesline Carlos N Charlies,mexico
132851,KFC,Mexico
135013,Giovannis,Mexico
135042,Restaurant Oriental Express,mexico
132768,Mariscos Tia Licha,Mexico
132561,cafe ambar,Mexico
135045,Restaurante la Gran Via,mexico
132847,don burguers,Mexico
135054,Restaurante y Pescaderia Tampico,Mexico
134975,Rincon del Bife,mexico
135053,La Fontana Pizza Restaurante and Cafe,Mexico
135050,Restaurante la Estrella de Dima,Mexico
135025,El Rincon de San Francisco,mexico
135030,Preambulo Wifi Zone Cafe,Mexico
135057,El Herradero Restaurante and Bar,Mexico
135079,Koye Sushi,mexico
134992,Restaurant Teely,Mexico
132954,la parroquia,Mexico
135041,Luna Cafe,mexico
132608,Hamburguesas La perica,Mexico
135046,Restaurante El Reyecito,Mexico
132564,churchs,mexico
132869,Dominos Pizza,Mexico
132925,el pueblito,Mexico
132955,emilianos,mexico
135059,Restaurant Bar Hacienda los Martinez,Mexico
135001,Vips,Mexico
135063,Restaurante Alhondiga,mexico
135080,los Toneles,Mexico
135000,Restaurant los Pinos,Mexico
135066,Restaurante Guerra,mexico
135034,Michiko Restaurant Japones,Mexico
135060,Restaurante Marisco Sam,Mexico
135055,la Cochinita Pibil Restaurante Yucateco,mexico
135108,Potzocalli,Mexico
135074,Restaurante la Parroquia Potosina,mexico
135018,El Oceano Dorado,Mexico
135064,Restaurante El Chivero S.A. de C.V.,Mexico
135038,Restaurant la Chalita,mexico
135081,El Club,Mexico
132723,Gordas de morales,Mexico
135051,Restaurante Versalles,mexico
135021,Subway,Mexico
135052,La Cantina Restaurante,Mexico
132845,Cenaduria El Rinc�_n de Tlaquepaque,mexico
135011,Los Vikingos,Mexico
132858,Hamburguesas Valle Dorado,Mexico
135026,la Cantina,mexico
132884,dairy queen,Mexico
135016,Arrachela Grill,Mexico
135104,vips,mexico
132630,palomo tec,Mexico
135047,Restaurante Casa de las Flores,Mexico
132951,VIPS,mexico
132665,TACOS CORRECAMINOS,Mexico
135044,Restaurant Wu Zhuo Yi,Mexico
135035,El Mundo de la Pasta,mexico
135071,Restaurante la Cantina,Mexico
132834,Gorditas Doa Gloria,Mexico
132846,el lechon potosino ,mexico
135048,Restaurante Bar Fu-hao,Mexico
132717,tortas hawai,Mexico
132861,Carls Jr,mexico
132885,Hamburguesas saul,Mexico
132740,Carreton de Flautas y Migadas,Mexico
132830,Rincon Huasteco,mexico
132773,El cotorreo,Mexico
132706,Gorditas Dona Tota,Mexico
132872,Pizzeria Julios,mexico
134987,Chilis Cuernavaca,Mexico
132572,Cafe Chaires,Mexico
132958,tacos los volcanes,mexico
132733,Little Cesarz,Mexico
132922,cafe punta del cielo,Mexico
132715,tacos de la estacion,mexico
135027,Restaurant Orizatlan,Mexico
132767,Restaurant Familiar El Chino,Mexico
135039,Restaurant de Mariscos de Picon,mexico
134996,Sanborns Casa Piedra,Mexico
132755,La Estrella de Dimas,Mexico
135043,pizza clasica,mexico
132654,Carnitas Mata  Calle 16 de Septiembre,Mexico
135049,Restaurante de Mariscos la Langosta,Mexico
135073,Restaurante Bar El Gallinero,mexico
132560,puesto de gorditas,Mexico
134976,Log Yin,Mexico
135075,Mariscos El Pescador,mexico
132660,carnitas mata calle Emilio Portes Gil,Mexico
132921,crudalia,Mexico
132594,tacos de barbacoa enfrente del Tec,mexico
134986,Restaurant Las Mananitas,Mexico
135062,Restaurante El Cielo Potosino,Mexico
132766,Mikasa,mexico
135088,Cafeteria cenidet,Mexico
135058,Restaurante Tiberius,Mexico
132754,Cabana Huasteca,mexico
132584,Gorditas Dona Tota,Mexico
135032,Cafeteria y Restaurant El Pacifico,Mexico
135028,La Virreina,mexico
135085,Tortas Locas Hipocampo,Mexico
132663,tacos abi,Mexico
132626,la perica hamburguesa,mexico
132583,McDonalds Centro,Mexico
132866,Chaires,Mexico
135072,Sushi Itto,mexico
135109,Paniroles,Mexico
135019,Restaurant Bar Coty y Pablo,Mexico
132877,sirloin stockade,mexico
